Landsat Product Identifier L2,Landsat Product Identifier L1,Landsat Scene Identifier,Date Acquired,Collection Category,Collection Number,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir/Off Nadir,Roll Angle,Date Product Generated L2,Date Product Generated L1,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover L1,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Processing Software Version,Sun Elevation L0RA,Sun Azimuth L0RA,TIRS SSM Model,Data Type L2,Sensor Identifier,Satellite,Product Map Projection L1,UTM Zone,Datum,Ellipsoid,Scene Center Lat DMS,Scene Center Long DMS,Corner Upper Left Lat DMS,Corner Upper Left Long DMS,Corner Upper Right Lat DMS,Corner Upper Right Long DMS,Corner Lower Left Lat DMS,Corner Lower Left Long DMS,Corner Lower Right Lat DMS,Corner Lower Right Long DMS,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Display ID,Entity ID
LC08_L2SP_170045_20210204_20210303_02_T1,LC08_L1TP_170045_20210204_20210303_02_T1,LC81700452021035LGN00,2021/02/04,T1,2, 170, 045, 170, 045,NADIR,   0.000,2021/03/03,2021/03/03,2021-02-04 07:49:01.5673,2021-02-04 07:49:33.337299,LGN,DAY,   1.69,  15.74,538,5,    5.501,    3.857,    3.923,LPGS_15.4.0,43.81821769,142.70623624,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'17.58"N,39°04'53.36"E,22°42'59.26"N,37°58'11.28"E,22°42'55.19"N,40°11'34.04"E,20°36'48.49"N,37°59'04.67"E,20°36'44.82"N,40°10'32.23"E, 21.67155,  39.08149, 22.71646,  37.96980, 22.71533,  40.19279, 20.61347,  37.98463, 20.61245,  40.17562,LC08_L2SP_170045_20210204_20210303_02_T1,LC81700452021035LGN00
LC08_L2SP_170045_20210220_20210303_02_T1,LC08_L1TP_170045_20210220_20210303_02_T1,LC81700452021051LGN00,2021/02/20,T1,2, 170, 045, 170, 045,NADIR,   0.000,2021/03/03,2021/03/03,2021-02-20 07:48:57.224421,2021-02-20 07:49:28.99442,LGN,DAY,  25.05,  16.97,322,5,    6.003,    4.212,    4.277,LPGS_15.4.0,48.05827809,138.06817874,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'17.44"N,39°04'38.78"E,22°42'59.18"N,37°58'00.77"E,22°42'55.33"N,40°11'13.02"E,20°36'48.42"N,37°58'54.30"E,20°36'44.96"N,40°10'11.50"E, 21.67151,  39.07744, 22.71644,  37.96688, 22.71537,  40.18695, 20.61345,  37.98175, 20.61249,  40.16986,LC08_L2SP_170045_20210220_20210303_02_T1,LC81700452021051LGN00
LC08_L2SP_170045_20210308_20210317_02_T1,LC08_L1TP_170045_20210308_20210317_02_T1,LC81700452021067LGN00,2021/03/08,T1,2, 170, 045, 170, 045,NADIR,   0.000,2021/03/17,2021/03/17,2021-03-08 07:48:49.59914,2021-03-08 07:49:21.369139,LGN,DAY,   0.03,   0.02,600,5,    5.304,    3.763,    3.737,LPGS_15.4.0,53.06810014,132.63224724,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'18.52"N,39°04'55.74"E,22°42'59.26"N,37°58'11.28"E,22°42'55.19"N,40°11'34.04"E,20°36'48.49"N,37°59'04.67"E,20°36'44.82"N,40°10'32.23"E, 21.67181,  39.08215, 22.71646,  37.96980, 22.71533,  40.19279, 20.61347,  37.98463, 20.61245,  40.17562,LC08_L2SP_170045_20210308_20210317_02_T1,LC81700452021067LGN00
LC08_L2SP_170045_20210324_20210402_02_T1,LC08_L1TP_170045_20210324_20210402_02_T1,LC81700452021083LGN00,2021/03/24,T1,2, 170, 045, 170, 045,NADIR,   0.000,2021/04/02,2021/04/02,2021-03-24 07:48:42.658208,2021-03-24 07:49:14.428207,LGN,DAY,   0.49,   0.97,527,5,    5.897,    4.047,    4.289,LPGS_15.4.0,58.23620109,125.91659161,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'17.90"N,39°04'41.12"E,22°42'59.18"N,37°58'00.77"E,22°42'55.26"N,40°11'23.53"E,20°36'48.42"N,37°58'54.30"E,20°36'44.89"N,40°10'21.86"E, 21.67164,  39.07809, 22.71644,  37.96688, 22.71535,  40.18987, 20.61345,  37.98175, 20.61247,  40.17274,LC08_L2SP_170045_20210324_20210402_02_T1,LC81700452021083LGN00
LC08_L2SP_170045_20210409_20210416_02_T1,LC08_L1TP_170045_20210409_20210416_02_T1,LC81700452021099LGN00,2021/04/09,T1,2, 170, 045, 170, 045,NADIR,   0.000,2021/04/16,2021/04/16,2021-04-09 07:48:38.119629,2021-04-09 07:49:09.889628,LGN,DAY,   0.60,   5.65,545,5,    5.764,    3.770,    4.361,LPGS_15.4.0,62.88370138,117.37199297,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'18.52"N,39°03'34.34"E,22°42'58.79"N,37°56'57.66"E,22°42'55.80"N,40°10'09.91"E,20°36'48.06"N,37°57'52.13"E,20°36'45.40"N,40°09'09.32"E, 21.67181,  39.05954, 22.71633,  37.94935, 22.71550,  40.16942, 20.61335,  37.96448, 20.61261,  40.15259,LC08_L2SP_170045_20210409_20210416_02_T1,LC81700452021099LGN00
LC08_L2SP_170045_20210425_20210501_02_T1,LC08_L1TP_170045_20210425_20210501_02_T1,LC81700452021115LGN00,2021/04/25,T1,2, 170, 045, 170, 045,NADIR,   0.000,2021/05/01,2021/05/01,2021-04-25 07:48:30.547575,2021-04-25 07:49:02.317574,LGN,DAY,  39.98,  36.38,325,5,    6.870,    4.358,    5.310,LPGS_15.4.0,66.33434524,106.86366067,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'17.29"N,39°02'57.41"E,22°42'58.50"N,37°56'15.61"E,22°42'56.05"N,40°09'38.38"E,20°36'47.81"N,37°57'10.66"E,20°36'45.58"N,40°08'38.26"E, 21.67147,  39.04928, 22.71625,  37.93767, 22.71557,  40.16066, 20.61328,  37.95296, 20.61266,  40.14396,LC08_L2SP_170045_20210425_20210501_02_T1,LC81700452021115LGN00
LC08_L2SP_170045_20210511_20210518_02_T1,LC08_L1TP_170045_20210511_20210518_02_T1,LC81700452021131LGN00,2021/05/11,T1,2, 170, 045, 170, 045,NADIR,   0.000,2021/05/18,2021/05/18,2021-05-11 07:48:26.662208,2021-05-11 07:48:58.432207,LGN,DAY,   0.00,   0.00,548,5,    6.755,    4.217,    5.276,LPGS_15.4.0,68.20173404,95.72920244,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'17.87"N,39°03'40.50"E,22°42'58.79"N,37°56'57.66"E,22°42'55.73"N,40°10'20.46"E,20°36'48.06"N,37°57'52.13"E,20°36'45.32"N,40°09'19.69"E, 21.67163,  39.06125, 22.71633,  37.94935, 22.71548,  40.17235, 20.61335,  37.96448, 20.61259,  40.15547,LC08_L2SP_170045_20210511_20210518_02_T1,LC81700452021131LGN00
LC08_L2SP_170045_20210527_20210607_02_T1,LC08_L1TP_170045_20210527_20210607_02_T1,LC81700452021147LGN00,2021/05/27,T1,2, 170, 045, 170, 045,NADIR,   0.000,2021/06/07,2021/06/07,2021-05-27 07:48:36.590257,2021-05-27 07:49:08.360256,LGN,DAY,   0.15,   0.77,528,5,    6.979,    3.739,    5.893,LPGS_15.5.0,68.59850826,86.57797656,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'18.16"N,39°03'04.68"E,22°42'58.50"N,37°56'15.61"E,22°42'55.98"N,40°09'48.89"E,20°36'38.05"N,37°57'10.73"E,20°36'35.75"N,40°08'48.52"E, 21.67171,  39.05130, 22.71625,  37.93767, 22.71555,  40.16358, 20.61057,  37.95298, 20.60993,  40.14681,LC08_L2SP_170045_20210527_20210607_02_T1,LC81700452021147LGN00
LC08_L2SP_170045_20210612_20210622_02_T1,LC08_L1TP_170045_20210612_20210622_02_T1,LC81700452021163LGN00,2021/06/12,T1,2, 170, 045, 170, 045,NADIR,   0.000,2021/06/22,2021/06/22,2021-06-12 07:48:43.520858,2021-06-12 07:49:15.290857,LGN,DAY,   0.71,  54.15,526,5,    7.140,    4.013,    5.905,LPGS_15.5.0,68.09156744,81.56954652,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'18.16"N,39°03'10.26"E,22°42'58.57"N,37°56'26.12"E,22°42'55.98"N,40°09'48.89"E,20°36'47.88"N,37°57'21.02"E,20°36'45.50"N,40°08'48.59"E, 21.67171,  39.05285, 22.71627,  37.94059, 22.71555,  40.16358, 20.61330,  37.95584, 20.61264,  40.14683,LC08_L2SP_170045_20210612_20210622_02_T1,LC81700452021163LGN00
LC08_L2SP_170045_20210628_20210707_02_T1,LC08_L1TP_170045_20210628_20210707_02_T1,LC81700452021179LGN00,2021/06/28,T1,2, 170, 045, 170, 045,NADIR,   0.000,2021/07/07,2021/07/07,2021-06-28 07:48:47.603105,2021-06-28 07:49:19.373104,LGN,DAY,   0.00,   0.00,537,5,    7.167,    3.846,    6.048,LPGS_15.5.0,67.33613873,81.30383464,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'17.44"N,39°03'55.37"E,22°42'58.86"N,37°57'08.17"E,22°42'55.66"N,40°10'30.97"E,20°36'38.34"N,37°58'02.53"E,20°36'35.50"N,40°09'29.99"E, 21.67151,  39.06538, 22.71635,  37.95227, 22.71546,  40.17527, 20.61065,  37.96737, 20.60986,  40.15833,LC08_L2SP_170045_20210628_20210707_02_T1,LC81700452021179LGN00
LC08_L2SP_170045_20210714_20210721_02_T1,LC08_L1TP_170045_20210714_20210721_02_T1,LC81700452021195LGN00,2021/07/14,T1,2, 170, 045, 170, 045,NADIR,   0.000,2021/07/21,2021/07/21,2021-07-14 07:48:48.839563,2021-07-14 07:49:20.609562,LGN,DAY,  18.68,  16.15,368,5,    7.274,    3.701,    6.262,LPGS_15.5.0,66.67948037,85.41610113,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'17.83"N,39°05'17.66"E,22°42'59.40"N,37°58'32.30"E,22°42'55.04"N,40°11'55.07"E,20°36'48.60"N,37°59'25.37"E,20°36'44.68"N,40°10'52.97"E, 21.67162,  39.08824, 22.71650,  37.97564, 22.71529,  40.19863, 20.61350,  37.99038, 20.61241,  40.18138,LC08_L2SP_170045_20210714_20210721_02_T1,LC81700452021195LGN00
LC08_L2SP_170045_20210730_20210804_02_T1,LC08_L1TP_170045_20210730_20210804_02_T1,LC81700452021211LGN00,2021/07/30,T1,2, 170, 045, 170, 045,NADIR,   0.000,2021/08/04,2021/08/04,2021-07-30 07:48:56.850238,2021-07-30 07:49:28.620238,LGN,DAY,  12.07,  13.62,458,5,    6.884,    4.016,    5.591,LPGS_15.5.0,66.10782118,93.28595735,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'18.41"N,39°04'51.78"E,22°42'59.26"N,37°58'11.28"E,22°42'55.19"N,40°11'34.04"E,20°36'48.49"N,37°59'04.67"E,20°36'44.82"N,40°10'32.23"E, 21.67178,  39.08105, 22.71646,  37.96980, 22.71533,  40.19279, 20.61347,  37.98463, 20.61245,  40.17562,LC08_L2SP_170045_20210730_20210804_02_T1,LC81700452021211LGN00
LC08_L2SP_170045_20210815_20210826_02_T1,LC08_L1TP_170045_20210815_20210826_02_T1,LC81700452021227LGN00,2021/08/15,T1,2, 170, 045, 170, 045,NADIR,   0.000,2021/08/26,2021/08/26,2021-08-15 07:49:03.061102,2021-08-15 07:49:34.831102,LGN,DAY,   5.57,  16.18,549,5,    6.101,    3.616,    4.914,LPGS_15.5.0,65.27175908,104.06471422,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'17.40"N,39°04'41.27"E,22°42'59.18"N,37°58'00.77"E,22°42'55.26"N,40°11'23.53"E,20°36'48.42"N,37°58'54.30"E,20°36'44.89"N,40°10'21.86"E, 21.67150,  39.07813, 22.71644,  37.96688, 22.71535,  40.18987, 20.61345,  37.98175, 20.61247,  40.17274,LC08_L2SP_170045_20210815_20210826_02_T1,LC81700452021227LGN00
LC08_L2SP_170045_20210831_20210909_02_T1,LC08_L1TP_170045_20210831_20210909_02_T1,LC81700452021243LGN00,2021/08/31,T1,2, 170, 045, 170, 045,NADIR,   0.000,2021/09/09,2021/09/09,2021-08-31 07:49:07.651043,2021-08-31 07:49:39.421042,LGN,DAY,   3.65,   4.48,516,5,    6.384,    4.049,    4.935,LPGS_15.5.0,63.71458476,116.39648546,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'17.94"N,39°04'42.42"E,22°42'59.18"N,37°58'00.77"E,22°42'55.26"N,40°11'23.53"E,20°36'48.42"N,37°58'54.30"E,20°36'44.89"N,40°10'21.86"E, 21.67165,  39.07845, 22.71644,  37.96688, 22.71535,  40.18987, 20.61345,  37.98175, 20.61247,  40.17274,LC08_L2SP_170045_20210831_20210909_02_T1,LC81700452021243LGN00
LC08_L2SP_170045_20210916_20210925_02_T1,LC08_L1TP_170045_20210916_20210925_02_T1,LC81700452021259LGN00,2021/09/16,T1,2, 170, 045, 170, 045,NADIR,   0.000,2021/09/25,2021/09/25,2021-09-16 07:49:11.509151,2021-09-16 07:49:43.279151,LGN,DAY,   0.17,   0.44,593,5,    5.547,    3.754,    4.084,LPGS_15.5.0,61.08953289,128.46098871,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'17.62"N,39°04'39.36"E,22°42'59.18"N,37°58'00.77"E,22°42'55.26"N,40°11'23.53"E,20°36'48.42"N,37°58'54.30"E,20°36'44.89"N,40°10'21.86"E, 21.67156,  39.07760, 22.71644,  37.96688, 22.71535,  40.18987, 20.61345,  37.98175, 20.61247,  40.17274,LC08_L2SP_170045_20210916_20210925_02_T1,LC81700452021259LGN00
LC08_L2SP_170045_20211002_20211013_02_T1,LC08_L1TP_170045_20211002_20211013_02_T1,LC81700452021275LGN00,2021/10/02,T1,2, 170, 045, 170, 045,NADIR,   0.000,2021/10/13,2021/10/13,2021-10-02 07:49:16.252985,2021-10-02 07:49:48.022984,LGN,DAY,   0.00,   0.01,613,5,    5.062,    3.468,    3.687,LPGS_15.5.0,57.42249603,138.66873103,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'16.93"N,39°04'06.67"E,22°42'59"N,37°57'29.20"E,22°42'55.51"N,40°10'52"E,20°36'38.48"N,37°58'23.27"E,20°36'35.35"N,40°09'50.72"E, 21.67137,  39.06852, 22.71639,  37.95811, 22.71542,  40.18111, 20.61069,  37.97313, 20.60982,  40.16409,LC08_L2SP_170045_20211002_20211013_02_T1,LC81700452021275LGN00
LC08_L2SP_170045_20211018_20211026_02_T1,LC08_L1TP_170045_20211018_20211026_02_T1,LC81700452021291LGN00,2021/10/18,T1,2, 170, 045, 170, 045,NADIR,   0.000,2021/10/26,2021/10/26,2021-10-18 07:49:20.045003,2021-10-18 07:49:51.815003,LGN,DAY,   0.00,   0.00,601,5,    5.074,    3.327,    3.830,LPGS_15.5.0,53.05386028,146.20977555,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'18.37"N,39°03'33.23"E,22°42'58.72"N,37°56'47.15"E,22°42'55.80"N,40°10'09.91"E,20°36'47.99"N,37°57'41.76"E,20°36'45.40"N,40°09'09.32"E, 21.67177,  39.05923, 22.71631,  37.94643, 22.71550,  40.16942, 20.61333,  37.96160, 20.61261,  40.15259,LC08_L2SP_170045_20211018_20211026_02_T1,LC81700452021291LGN00
LC08_L2SP_170045_20211103_20211109_02_T1,LC08_L1TP_170045_20211103_20211109_02_T1,LC81700452021307LGN00,2021/11/03,T1,2, 170, 045, 170, 045,NADIR,   0.000,2021/11/09,2021/11/09,2021-11-03 07:49:19.461849,2021-11-03 07:49:51.231849,LGN,DAY,   0.00,   0.17,584,5,    5.680,    3.857,    4.170,LPGS_15.5.0,48.53223244,151.00284569,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'17.94"N,39°03'50.11"E,22°42'58.86"N,37°57'08.17"E,22°42'55.66"N,40°10'30.97"E,20°36'38.34"N,37°58'02.53"E,20°36'35.50"N,40°09'29.99"E, 21.67165,  39.06392, 22.71635,  37.95227, 22.71546,  40.17527, 20.61065,  37.96737, 20.60986,  40.15833,LC08_L2SP_170045_20211103_20211109_02_T1,LC81700452021307LGN00
LC09_L2SP_170045_20211107_20230506_02_T1,LC09_L1TP_170045_20211107_20230506_02_T1,LC91700452021311LGN02,2021/11/07,T1,2, 170, 045, 170, 045,NADIR,   0.000,2023/05/06,2023/05/06,2021-11-07 07:48:36,2021-11-07 07:49:08,LGN,DAY,   0.00,   1.15,585,5,    5.091,    3.382,    3.805,LPGS_16.2.0,47.37501029,151.59764212,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,37,WGS84,WGS84,21°40'17.65"N,39°05'03.23"E,22°42'59.54"N,37°58'53.33"E,22°42'55.44"N,40°11'02.51"E,20°36'48.71"N,37°59'46.10"E,20°36'45.04"N,40°10'01.16"E, 21.67157,  39.08423, 22.71654,  37.98148, 22.71540,  40.18403, 20.61353,  37.99614, 20.61251,  40.16699,LC09_L2SP_170045_20211107_20230506_02_T1,LC91700452021311LGN02
LC08_L2SP_170045_20211119_20211125_02_T1,LC08_L1TP_170045_20211119_20211125_02_T1,LC81700452021323LGN00,2021/11/19,T1,2, 170, 045, 170, 045,NADIR,   0.000,2021/11/25,2021/11/25,2021-11-19 07:49:14.208206,2021-11-19 07:49:45.978206,LGN,DAY,   0.04,   0.31,572,5,    6.375,    4.332,    4.677,LPGS_15.5.0,44.43895816,153.32225256,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'18.34"N,39°05'03.26"E,22°42'59.33"N,37°58'21.79"E,22°42'55.12"N,40°11'44.56"E,20°36'48.53"N,37°59'15.04"E,20°36'44.75"N,40°10'42.60"E, 21.67176,  39.08424, 22.71648,  37.97272, 22.71531,  40.19571, 20.61348,  37.98751, 20.61243,  40.17850,LC08_L2SP_170045_20211119_20211125_02_T1,LC81700452021323LGN00
LC08_L2SP_170045_20211205_20211215_02_T1,LC08_L1TP_170045_20211205_20211215_02_T1,LC81700452021339LGN00,2021/12/05,T1,2, 170, 045, 170, 045,NADIR,   0.000,2021/12/15,2021/12/15,2021-12-05 07:49:16.070544,2021-12-05 07:49:47.840544,LGN,DAY,   0.50,  10.25,545,5,    6.401,    3.957,    5.031,LPGS_15.5.0,41.32008835,153.57072918,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'17.94"N,39°04'16.36"E,22°42'59"N,37°57'29.20"E,22°42'55.44"N,40°11'02.51"E,20°36'38.48"N,37°58'23.27"E,20°36'35.28"N,40°10'01.06"E, 21.67165,  39.07121, 22.71639,  37.95811, 22.71540,  40.18403, 20.61069,  37.97313, 20.60980,  40.16696,LC08_L2SP_170045_20211205_20211215_02_T1,LC81700452021339LGN00
LC09_L2SP_170045_20211213_20230504_02_T1,LC09_L1TP_170045_20211213_20230504_02_T1,LC91700452021347LGN02,2021/12/13,T1,2, 170, 045, 170, 045,NADIR,   0.000,2023/05/04,2023/05/04,2021-12-13 07:49:12,2021-12-13 07:49:44,LGN,DAY,   0.01,   0.01,571,5,    5.699,    3.596,    4.421,LPGS_16.2.0,40.25677556,153.02705355,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,37,WGS84,WGS84,21°40'18.34"N,39°03'27.14"E,22°42'58.72"N,37°56'47.15"E,22°42'55.91"N,40°09'59.40"E,20°36'47.99"N,37°57'41.76"E,20°36'45.47"N,40°08'58.96"E, 21.67176,  39.05754, 22.71631,  37.94643, 22.71553,  40.16650, 20.61333,  37.96160, 20.61263,  40.14971,LC09_L2SP_170045_20211213_20230504_02_T1,LC91700452021347LGN02
LC08_L2SP_170045_20211221_20211229_02_T1,LC08_L1TP_170045_20211221_20211229_02_T1,LC81700452021355LGN00,2021/12/21,T1,2, 170, 045, 170, 045,NADIR,   0.000,2021/12/29,2021/12/29,2021-12-21 07:49:13.442337,2021-12-21 07:49:45.212336,LGN,DAY,   5.51,  27.47,526,5,    6.177,    4.060,    4.656,LPGS_15.5.0,39.60889146,152.17993775,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'18.48"N,39°04'24.67"E,22°42'59.04"N,37°57'39.71"E,22°42'55.44"N,40°11'02.51"E,20°36'48.31"N,37°58'33.56"E,20°36'45.04"N,40°10'01.16"E, 21.67180,  39.07352, 22.71640,  37.96103, 22.71540,  40.18403, 20.61342,  37.97599, 20.61251,  40.16699,LC08_L2SP_170045_20211221_20211229_02_T1,LC81700452021355LGN00
LC09_L2SP_170045_20211229_20230503_02_T1,LC09_L1TP_170045_20211229_20230503_02_T1,LC91700452021363LGN02,2021/12/29,T1,2, 170, 045, 170, 045,NADIR,   0.000,2023/05/03,2023/05/03,2021-12-29 07:49:11,2021-12-29 07:49:43,LGN,DAY,  16.20,  22.37,423,5,    6.091,    3.957,    4.630,LPGS_16.2.0,39.36459057,150.98717839,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,37,WGS84,WGS84,21°40'18.30"N,39°03'39.92"E,22°42'58.79"N,37°56'57.66"E,22°42'55.73"N,40°10'20.46"E,20°36'48.06"N,37°57'52.13"E,20°36'45.32"N,40°09'19.69"E, 21.67175,  39.06109, 22.71633,  37.94935, 22.71548,  40.17235, 20.61335,  37.96448, 20.61259,  40.15547,LC09_L2SP_170045_20211229_20230503_02_T1,LC91700452021363LGN02
LC08_L2SP_170045_20220106_20220114_02_T1,LC08_L1TP_170045_20220106_20220114_02_T1,LC81700452022006LGN00,2022/01/06,T1,2, 170, 045, 170, 045,NADIR,   0.000,2022/01/14,2022/01/14,2022-01-06 07:49:08.959568,2022-01-06 07:49:40.729568,LGN,DAY,  13.22,  21.39,448,5,    6.401,    4.349,    4.696,LPGS_15.6.0,39.56555119,149.56187963,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'17.18"N,39°04'46.85"E,22°42'59.18"N,37°58'00.77"E,22°42'55.26"N,40°11'23.53"E,20°36'38.66"N,37°58'54.37"E,20°36'35.14"N,40°10'21.79"E, 21.67144,  39.07968, 22.71644,  37.96688, 22.71535,  40.18987, 20.61074,  37.98177, 20.60976,  40.17272,LC08_L2SP_170045_20220106_20220114_02_T1,LC81700452022006LGN00
LC09_L2SP_170045_20220114_20230502_02_T1,LC09_L1TP_170045_20220114_20230502_02_T1,LC91700452022014LGN01,2022/01/14,T1,2, 170, 045, 170, 045,NADIR,  -0.001,2023/05/02,2023/05/02,2022-01-14 07:49:08,2022-01-14 07:49:39,LGN,DAY,  81.75,  85.72,81,5,    6.584,    4.432,    4.869,LPGS_16.2.0,40.19272161,147.90636301,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,37,WGS84,WGS84,21°40'18.19"N,39°04'14.34"E,22°42'49.25"N,37°57'29.27"E,22°42'45.76"N,40°10'51.89"E,20°36'48.24"N,37°58'23.20"E,20°36'45.11"N,40°09'50.80"E, 21.67172,  39.07065, 22.71368,  37.95813, 22.71271,  40.18108, 20.61340,  37.97311, 20.61253,  40.16411,LC09_L2SP_170045_20220114_20230502_02_T1,LC91700452022014LGN01
LC08_L2SP_170045_20220122_20220128_02_T1,LC08_L1TP_170045_20220122_20220128_02_T1,LC81700452022022LGN00,2022/01/22,T1,2, 170, 045, 170, 045,NADIR,   0.000,2022/01/28,2022/01/28,2022-01-22 07:49:05.137548,2022-01-22 07:49:36.907547,LGN,DAY,   7.75,   7.34,436,5,    6.088,    4.310,    4.300,LPGS_15.6.0,41.24412465,146.08312692,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'18.66"N,39°04'47.57"E,22°42'59.26"N,37°58'11.28"E,22°42'55.26"N,40°11'23.53"E,20°36'48.49"N,37°59'04.67"E,20°36'44.89"N,40°10'21.86"E, 21.67185,  39.07988, 22.71646,  37.96980, 22.71535,  40.18987, 20.61347,  37.98463, 20.61247,  40.17274,LC08_L2SP_170045_20220122_20220128_02_T1,LC81700452022022LGN00
LC09_L2SP_170045_20220130_20230430_02_T1,LC09_L1TP_170045_20220130_20230430_02_T1,LC91700452022030LGN01,2022/01/30,T1,2, 170, 045, 170, 045,NADIR,   0.000,2023/04/30,2023/04/30,2022-01-30 07:49:10,2022-01-30 07:49:42,LGN,DAY,  34.53,  17.58,270,5,    6.555,    4.588,    4.682,LPGS_16.2.0,42.68433758,144.09687597,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,37,WGS84,WGS84,21°40'17.62"N,39°03'01.66"E,22°42'58.50"N,37°56'15.61"E,22°42'56.05"N,40°09'38.38"E,20°36'47.81"N,37°57'10.66"E,20°36'45.58"N,40°08'38.26"E, 21.67156,  39.05046, 22.71625,  37.93767, 22.71557,  40.16066, 20.61328,  37.95296, 20.61266,  40.14396,LC09_L2SP_170045_20220130_20230430_02_T1,LC91700452022030LGN01
LC08_L2SP_170045_20220207_20220212_02_T1,LC08_L1TP_170045_20220207_20220212_02_T1,LC81700452022038LGN00,2022/02/07,T1,2, 170, 045, 170, 045,NADIR,   0.000,2022/02/12,2022/02/12,2022-02-07 07:49:01.694862,2022-02-07 07:49:33.464862,LGN,DAY,   0.28,   0.22,583,5,    5.843,    4.088,    4.175,LPGS_15.6.0,44.46949836,141.95264652,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,37,WGS84,WGS84,21°40'18.08"N,39°04'25.68"E,22°42'59.11"N,37°57'50.26"E,22°42'55.44"N,40°11'02.51"E,20°36'48.35"N,37°58'43.93"E,20°36'45.04"N,40°10'01.16"E, 21.67169,  39.07380, 22.71642,  37.96396, 22.71540,  40.18403, 20.61343,  37.97887, 20.61251,  40.16699,LC08_L2SP_170045_20220207_20220212_02_T1,LC81700452022038LGN00
LC09_L2SP_170045_20220215_20230427_02_T1,LC09_L1TP_170045_20220215_20230427_02_T1,LC91700452022046LGN01,2022/02/15,T1,2, 170, 045, 170, 045,NADIR,   0.000,2023/04/27,2023/04/27,2022-02-15 07:49:06,2022-02-15 07:49:37,LGN,DAY,   0.18,   0.47,587,5,    5.353,    3.824,    3.746,LPGS_16.2.0,46.56375690,139.67763437,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,37,WGS84,WGS84,21°40'18.16"N,39°03'18.76"E,22°42'58.64"N,37°56'36.64"E,22°42'55.91"N,40°09'59.40"E,20°36'47.92"N,37°57'31.39"E,20°36'45.47"N,40°08'58.96"E, 21.67171,  39.05521, 22.71629,  37.94351, 22.71553,  40.16650, 20.61331,  37.95872, 20.61263,  40.14971,LC09_L2SP_170045_20220215_20230427_02_T1,LC91700452022046LGN01
